TicketID,Description,Subject,StatusID,UserID
1,Can't access email,Can't access email,Open,1
2,Printer not working,Printer not working,Open,2
3,Forgotten password,Forgotten password,In Progress,3
4,Software installation issue,Software installation issue,Closed,4
5,Network connectivity problem,Network connectivity problem,Open,5
6,Application crashes frequently,Application crashes frequently,In Progress,6
7,Account locked out,Account locked out,Closed,7
8,Slow computer performance,Slow computer performance,Open,8
9,Data loss after system update,Data loss after system update,In Progress,9
10,Cannot send/receive emails,Cannot send/receive emails,Open,10
11,Blue screen error on startup,Blue screen error on startup,Closed,11
12,Virus detected,Virus detected,Open,12
13,Printer paper jam,Printer paper jam,In Progress,13
14,Email attachments won't open,Email attachments won't open,Closed,14
15,Cannot connect to Wi-Fi,Cannot connect to Wi-Fi,Open,15
16,Software not responding,Software not responding,In Progress,16
17,Forgotten email password,Forgotten email password,Closed,17
18,Slow internet connection,Slow internet connection,Open,18
19,Cannot open Excel files,Cannot open Excel files,In Progress,19
20,Email not syncing with phone,Email not syncing with phone,Open,20
21,Computer freezes randomly,Computer freezes randomly,Closed,21
22,Malware detected,Malware detected,Open,22
23,Printer not responding,Printer not responding,In Progress,23
24,Cannot print PDF documents,Cannot print PDF documents,Closed,24
25,Wi-Fi signal weak,Wi-Fi signal weak,Open,25
26,System crashes on startup,System crashes on startup,In Progress,26
27,Locked out of the company software,Locked out of the company software,Closed,27
28,High CPU usage,High CPU usage,Open,28
29,Missing files after update,Missing files after update,In Progress,29
30,Email attachments missing,Email attachments missing,Open,30
31,No internet connection,No internet connection,Closed,31
32,Software crashes on launch,Software crashes on launch,Open,32
33,Forgotten Wi-Fi password,Forgotten Wi-Fi password,In Progress,33
34,Printer not printing properly,Printer not printing properly,Closed,34
35,Email not receiving messages,Email not receiving messages,Open,35
36,Application not responding,Application not responding,In Progress,36
37,Account password reset,Account password reset,Open,37
38,Slow computer startup,Slow computer startup,Closed,38
39,Data recovery needed,Data recovery needed,Open,39
40,Email login issue,Email login issue,In Progress,40
41,Blue screen error,Blue screen error,Closed,41
42,Ransomware infection,Ransomware infection,Open,42
43,Printer error code,Printer error code,In Progress,43
44,Cannot scan documents,Cannot scan documents,Closed,44
45,Network connection lost,Network connection lost,Open,45
46,Application crashes,Application crashes,In Progress,46
47,Password recovery,Password recovery,Open,47
48,System performance issues,System performance issues,Closed,48
49,Excel file corruption,Excel file corruption,Open,49
50,Email not sending,Email not sending,In Progress,50
51,Computer overheating,Computer overheating,Closed,51
52,Spyware detected,Spyware detected,Open,52
53,Printer paper feed problem,Printer paper feed problem,In Progress,53
54,Email attachment issues,Email attachment issues,Closed,54
55,Internet connection lost,Internet connection lost,Open,55
56,Network speed issues,Network speed issues,In Progress,56
57,Cannot open Word documents,Cannot open Word documents,Open,57
58,Email sync with phone problems,Email sync with phone problems,Closed,58
59,Frequent software crashes,Frequent software crashes,Open,59
60,Virus removal needed,Virus removal needed,In Progress,60
61,Printer not recognizing paper,Printer not recognizing paper,Closed,61
62,Cannot print PDF files,Cannot print PDF files,Open,62
63,Slow Wi-Fi connection,Slow Wi-Fi connection,In Progress,63
64,Software update issues,Software update issues,Closed,64
65,Forgotten login details,Forgotten login details,Open,65
66,Printer not connecting to computer,Printer not connecting to computer,In Progress,66
67,Email attachments won't open,Email attachments won't open,Open,67
68,System performance problems,System performance problems,Closed,68
69,Data loss after software update,Data loss after software update,Open,69
70,Email not syncing with phone,Email not syncing with phone,In Progress,70
71,Blue screen error on startup,Blue screen error on startup,Closed,71
72,Malware detected,Malware detected,Open,72
73,Printer paper jam issue,Printer paper jam issue,In Progress,73
74,Cannot scan documents,Cannot scan documents,Closed,74
75,Network connection lost,Network connection lost,Open,75
76,Application crashes,Application crashes,In Progress,76
77,Password recovery,Password recovery,Open,77
78,System performance issues,System performance issues,Closed,78
79,Excel file corruption,Excel file corruption,Open,79
80,Email not sending,Email not sending,In Progress,80
81,Computer overheating,Computer overheating,Closed,81
82,Spyware detected,Spyware detected,Open,82
83,Printer paper feed problem,Printer paper feed problem,In Progress,83
84,Email attachment issues,Email attachment issues,Closed,84
85,Internet connection lost,Internet connection lost,Open,85
86,Network speed issues,Network speed issues,In Progress,86
87,Cannot open Word documents,Cannot open Word documents,Open,87
88,Email sync with phone problems,Email sync with phone problems,Closed,88
89,Frequent software crashes,Frequent software crashes,Open,89
90,Virus removal needed,Virus removal needed,In Progress,90
91,Printer not recognizing paper,Printer not recognizing paper,Closed,91
92,Cannot print PDF files,Cannot print PDF files,Open,92
93,Slow Wi-Fi connection,Slow Wi-Fi connection,In Progress,93
94,Software update issues,Software update issues,Closed,94
95,Forgotten login details,Forgotten login details,Open,95
96,Printer not connecting to computer,Printer not connecting to computer,In Progress,96
97,Email attachments won't open,Email attachments won't open,Open,97
98,System performance problems,System performance problems,Closed,98
99,Data loss after software update,Data loss after software update,Open,99
100,Email not syncing with phone,Email not syncing with phone,In Progress,100
