"SupplierID,SupplierName,ContactPerson,ContactEmail,ContactPhone,BusinessID"
"1,Electronics Distributors Inc.,David Smith,david@email.com,555-123-4567,1"
"2,Coffee Beans Co.,Emily Johnson,emily@email.com,555-987-6543,2"
"3,Legal Services Provider,Michael Brown,michael@email.com,555-234-5678,3"
"4,Artisanal Breads Bakery,Sarah Davis,sarah@email.com,555-876-5432,4"
"5,Computer Hardware Suppliers,David Wilson,david@email.com,555-345-6789,5"
"6,Home Decor Wholesalers,Linda Smith,linda@email.com,555-654-3210,6"
"7,Auto Parts Manufacturer,Robert Johnson,robert@email.com,555-432-1098,7"
"8,Travel Agency Wholesaler,Michelle Brown,michelle@email.com,555-210-9876,8"
"9,Construction Materials Inc.,Steven Davis,steven@email.com,555-876-5432,9"
"10,Medical Equipment Suppliers,Rebecca Wilson,rebecca@email.com,555-109-8765,10"
"11,Book Distributors,William Adams,william@email.com,555-333-7777,11"
"12,Art Prints Wholesalers,Grace Johnson,grace@email.com,555-444-8888,12"
"13,Organic Farms Co-op,Thomas Smith,thomas@email.com,555-555-1111,13"
"14,Auto Parts Distributors,Eric Davis,eric@email.com,555-888-4444,14"
"15,Real Estate Services Provider,Anna Johnson,anna@email.com,555-111-0000,15"
"16,Coffee Machines Manufacturer,Marcus Brown,marcus@email.com,555-222-9999,16"
"17,Pet Products Suppliers,Olivia Davis,olivia@email.com,555-123-1111,17"
"18,Software Development Firm,Julia Wilson,julia@email.com,555-000-7777,18"
"19,Gardening Tools Suppliers,Andrew Smith,andrew@email.com,555-555-8888,19"
"20,Beach Accessories Wholesalers,Lisa Johnson,lisa@email.com,555-666-9999,20"
"21,Bicycle Manufacturers,Matthew Davis,matthew@email.com,555-000-1111,21"
"22,Fine Dining Suppliers,Grace Wilson,grace@email.com,555-333-7777,22"
"23,Scuba Diving Gear Wholesalers,Charles Smith,charles@email.com,555-666-4444,23"
"24,Custom Cakes Bakery,Olivia Johnson,olivia@email.com,555-444-9999,24"
"25,Fitness Equipment Suppliers,Joseph Davis,joseph@email.com,555-222-1111,25"
"26,Fashion Clothing Distributors,Sophia Smith,sophia@email.com,555-111-0000,26"
"27,Software Development Tools Provider,James Johnson,james@email.com,555-555-1111,27"
"28,Coffee Beans Suppliers,Lily Davis,lily@email.com,555-888-0000,28"
"29,Car Rental Companies,Ethan Smith,ethan@email.com,555-333-4444,29"
"30,Health Supplements Distributors,Emma Johnson,emma@email.com,555-777-9999,30"
