"BusinessID,BusinessName,OwnerName,Address,ContactNumber,UserID"
"1,ABC Electronics,John Doe,123 Main St,555-123-4567,1001"
"2,XYZ Cafe,Emily Smith,456 Oak Avenue,555-987-6543,1002"
"3,Smith & Co. Law Firm,Michael Johnson,789 Elm Rd,555-234-5678,1003"
"4,Sunshine Bakery,Sarah Williams,321 Maple Lane,555-876-5432,1004"
"5,Tech Innovators Inc.,David Brown,567 Pine St,555-345-6789,1005"
"6,Green Thumb Nursery,Linda Davis,890 Cedar Drive,555-654-3210,1006"
"7,Quick Auto Repair,Robert Wilson,111 Birch Rd,555-432-1098,1007"
"8,Blue Sky Travel Agency,Michelle Lee,222 Cherry Lane,555-210-9876,1008"
"9,Golden Gate Construction,Steven Martinez,333 Oakwood Dr,555-876-5432,1009"
"10,Star Health Clinic,Rebecca Garcia,444 Willow Rd,555-109-8765,1010"
"11,The Book Nook,William Adams,555 Library Ave,555-333-7777,1011"
"12,Artistic Creations Gallery,Grace Turner,123 Artist St,555-444-8888,1012"
"13,The Green Grocer,Thomas White,456 Fresh Market,555-555-1111,1013"
"14,AutoMaster Repair Shop,Eric Parker,789 Mechanic Dr,555-888-4444,1014"
"15,Home Sweet Home Realty,Anna Scott,101 Real Estate Rd,555-111-0000,1015"
"16,The Coffee Connection,Marcus Johnson,12 Coffee Lane,555-222-9999,1016"
"17,Gym Fit,Olivia Martinez,456 Fitness Blvd,555-123-1111,1017"
"18,Happy Paws Pet Store,Julia Davis,789 Pet Place,555-000-7777,1018"
"19,Tech Solutions Inc.,Andrew Adams,101 Tech Park,555-555-8888,1019"
"20,Floral Expressions,Lisa Martin,123 Flower Ave,555-666-9999,1020"
"21,The Bike Shop,Matthew Wilson,456 Cyclist St,555-000-1111,1021"
"22,Fine Dining Restaurant,Grace Walker,789 Gourmet Rd,555-333-7777,1022"
"23,Ocean Adventures Dive Center,Charles Turner,101 Dive Street,555-666-4444,1023"
"24,Sweet Tooth Bakery,Olivia Parker,12 Sugar Lane,555-444-9999,1024"
"25,The Fitness Factory,Joseph Scott,456 Health Dr,555-222-1111,1025"
"26,Chic Boutique,Sophia Adams,123 Fashion Ave,555-111-0000,1026"
"27,TechPro Solutions,James Martin,789 Innovation Rd,555-555-1111,1027"
"28,Cozy Corner Cafe,Lily Davis,101 Cafe Lane,555-888-0000,1028"
"29,Green Living Eco Store,Ethan Johnson,456 Eco Plaza,555-333-4444,1029"
"30,Health and Wellness Center,Emma Smith,123 Wellness Way,555-777-9999,1030"
