ProductID,ProductName,Description,Price,Type,StockQuantity,BusinessID
1,Widget AA,High-quality widget designed for various applications.,19.99,Widget,250,B-001
2,Widget BB,Compact and efficient widget for everyday tasks.,14.99,Thingamajig,150,B-002
3,Thingamajig XX,The latest model of our thingamajig series with advanced features.,29.99,Gizmo,300,B-003
4,Thingamajig YY,Reliable and durable thingamajig for long-term use.,24.99,Doohickey,200,B-004
5,Gizmo ZZ,Multi-purpose gizmo with cutting-edge technology.,39.99,Gadget,100,B-005
6,Gizmo AA,Entry-level gizmo suitable for beginners.,9.99,Appliance,500,B-006
7,Doohickey BB,Specialized doohickey for specific applications.,34.99,Tool,120,B-007
8,Doohickey CC,Premium doohickey with advanced features and performance.,49.99,Machine,80,B-008
9,Widget CC,Versatile widget designed for industrial use.,24.99,Device,180,B-009
10,Widget DD,Compact widget ideal for home and office applications.,12.99,Equipment,300,B-010
11,Thingamajig ZZ,Top-of-the-line thingamajig with exceptional performance.,59.99,Instrument,150,B-011
12,Thingamajig AA,All-purpose thingamajig with a sleek design.,19.99,Accessory,250,B-012
13,Gizmo BB,Advanced gizmo with superior features.,44.99,Component,90,B-013
14,Gizmo CC,Sleek gizmo with a stylish design and user-friendly controls.,29.99,Hardware,120,B-014
15,Doohickey AA,High-performance doohickey for professional use.,39.99,Software,70,B-015
16,Doohickey DD,Durable doohickey built to last in demanding environments.,34.99,Apparel,110,B-016
17,Widget EE,Economical widget for budget-conscious customers.,8.99,Footwear,400,B-017
18,Widget FF,Industrial-grade widget for heavy-duty tasks.,29.99,Furniture,150,B-018
19,Thingamajig DD,Compact thingamajig with exceptional portability.,16.99,Electronics,280,B-019
20,Thingamajig EE,Efficient thingamajig for daily use.,14.99,Toys,320,B-020
21,Gizmo DD,Premium gizmo with a touchscreen interface.,54.99,Jewelry,80,B-021
22,Gizmo EE,Stylish gizmo with a variety of color options.,33.99,Cosmetics,120,B-022
23,Doohickey EE,Heavy-duty doohickey for industrial applications.,42.99,Food,70,B-023
24,Doohickey FF,Professional-grade doohickey with advanced features.,49.99,Beverages,110,B-024
25,Widget GG,Energy-efficient widget with an eco-friendly design.,59.99,Books,300,B-025
26,Widget HH,High-speed widget for time-sensitive tasks.,64.99,Music,150,B-026
27,Thingamajig FF,User-friendly thingamajig with intuitive controls.,38.99,Movies,180,B-027
28,Thingamajig GG,Compact and lightweight thingamajig for easy handling.,9.99,Home Decor,300,B-028
29,Gizmo FF,Compact gizmo with a powerful processor.,18.99,Sports Equipment,150,B-029
