"PromotionID,PromotionName,Description,DiscountPercentage"
"1,SummerSale2023,Get 20% off all summer clothing,20"
"2,BackToSchool,Buy 1, Get 1 at 50% off on school supplies,50"
"3,FallFashionDeal,Save 15% on fall fashion items,15"
"4,WinterClearance,Clearance sale - Up to 70% off winter gear,70"
"5,ValentinesSpecial,Valentine's Day - 10% off all gifts,10"
"6,NewYear2023,New Year's promotion - 15% off all items,15"
"7,BlackFridaySale,Black Friday - Massive discounts storewide,50"
"8,CyberMondayDeals,Cyber Monday - Exclusive online deals,30"
"9,SpringClearance,Spring clearance sale - Save big,40"
"10,HolidayGiftGuide,Shop for the holidays and get 25% off,25"
"11,EasterSpecial,Easter promotion - 10% off on select items,10"
"12,MothersDaySale,Celebrate Mother's Day with 15% off,15"
"13,IndependenceDay,4th of July special - 20% off,20"
"14,TechSavings,Tech sale - Save up to 30% on electronics,30"
"15,HomeImprovement,Upgrade your home with 15% off,15"
"16,HealthAndWellness,Stay healthy - 10% off health products,10"
"17,OutdoorAdventure,Outdoor gear - Discounts up to 40%,40"
"18,GardenParty,Garden and patio items - 20% off,20"
"19,TravelFever,Plan your next trip with 15% off,15"
"20,BooksAndMore,Book lovers - Enjoy 10% off,10"
"21,FitnessGoals,Fitness gear - Save 20% on select items,20"
"22,BackyardBBQ,Get ready for BBQ season - 25% off,25"
"23,SummerFun,Enjoy summer with 10% off outdoor activities,10"
"24,FallHarvest,Fall harvest sale - 20% off,20"
"25,WinterWonders,Winter essentials - Discounts up to 30%,30"
"26,ValentinesGifts,Valentine's Day gifts - 15% off,15"
"27,NewYearNewYou,New Year, New You - 10% off wellness products,10"
"28,ThanksgivingSale,Thanksgiving special - 15% off,15"
"29,ElectronicsBonanza,Electronics sale - Discounts up to 25%,25"
"30,CozyHome,Make your home cozy with 10% off,10"
