"TicketID,Description,Subject,StatusID,UserID"
"1,Issue with login,Login Troubleshooting,1,1001"
"2,Website is down,Server Outage,2,1002"
"3,Request for software update,Software Update,1,1003"
"4,Can't access email,Email Problem,3,1004"
"5,Printer not working,Hardware Issue,2,1005"
"6,Inquiry about new feature,Feature Request,1,1006"
"7,Forgot password,Password Reset,1,1007"
"8,Report a bug,Bug Report,2,1008"
"9,Slow network connection,Network Issue,3,1009"
"10,General inquiry,General Inquiry,1,1010"
"11,Billing issue,Billing Problem,3,1011"
"12,Request for account closure,Account Closure,2,1012"
"13,Feedback on service,Service Feedback,1,1013"
"14,File not uploading,File Upload Issue,3,1014"
"15,Mobile app crashing,App Issue,2,1015"
"16,Lost password,Password Reset,1,1016"
"17,Report a security concern,Security Issue,2,1017"
"18,Sync issues with calendar,Calendar Sync Problem,1,1018"
"19,Missing order confirmation,Order Issue,3,1019"
"20,Request for tech support,Technical Support Request,1,1020"
"21,Upgrade request,Upgrade Request,2,1021"
"22,Unsubscribe request,Unsubscribe Request,3,1022"
"23,Unable to access files,File Access Issue,2,1023"
"24,Mobile app feature request,Feature Request,1,1024"
"25,Website not displaying correctly,Display Issue,2,1025"
"26,Password change request,Password Change Request,1,1026"
"27,Data loss issue,Data Loss Report,3,1027"
"28,Server performance problem,Performance Issue,2,1028"
"29,Account verification request,Account Verification,1,1029"
"30,Payment confirmation,Payment Issue,1,1030"
