"NotificationID,Title,Message,SendDate,UserID,StatusID,Type"
"1,New Product Arrivals,Check out our latest products,2023-10-01,1001,1,Info"
"2,Order Confirmation,Your order has been successfully placed,2023-10-02,1002,2,Order"
"3,Legal Consultation,You have a legal consultation scheduled,2023-10-03,1003,1,Appointment"
"4,Promotion Alert,Exclusive promotion: 20% off,2023-10-04,1004,2,Promotion"
"5,Shipment Tracking,Your order is on its way,2023-10-05,1005,1,Shipment"
"6,New Arrivals,Explore our new collection,2023-10-06,1006,1,Info"
"7,Appointment Reminder,Don't forget your medical check-up,2023-10-07,1007,2,Appointment"
"8,Payment Confirmation,Your payment has been received,2023-10-08,1008,1,Payment"
"9,Service Request,Your service request has been received,2023-10-09,1009,1,Service"
"10,Order Shipped,Your order has been shipped,2023-10-10,1010,2,Shipment"
"11,Discount Alert,Hurry, limited-time discount,2023-10-11,1011,1,Promotion"
"12,Appointment Scheduled,Your dental appointment is confirmed,2023-10-12,1012,2,Appointment"
"13,Product Update,New features added to the software,2023-10-13,1013,1,Update"
"14,Appointment Reminder,Meeting with client at 3 PM,2023-10-14,1014,2,Appointment"
"15,Invoice Due,Your invoice is due in 3 days,2023-10-15,1015,1,Payment"
"16,Product Recall,Important: Product recall notice,2023-10-16,1016,2,Alert"
"17,Feedback Request,Please rate your recent purchase,2023-10-17,1017,1,Request"
"18,Service Completion,Your repair service is complete,2023-10-18,1018,1,Service"
"19,New Listings,Check out the latest property listings,2023-10-19,1019,2,Info"
"20,Appointment Confirmation,Your hair appointment is confirmed,2023-10-20,1020,1,Appointment"
"21,Package Delivered,Your package has been delivered,2023-10-21,1021,2,Shipment"
"22,Special Offer,Don't miss out on our special offer,2023-10-22,1022,1,Promotion"
"23,Service Request,We've received your tech support request,2023-10-23,1023,1,Service"
"24,Feedback Request,Rate your recent dining experience,2023-10-24,1024,2,Request"
"25,Invoice Reminder,Reminder: Your invoice is overdue,2023-10-25,1025,1,Payment"
"26,Appointment Reminder,Your doctor's appointment is tomorrow,2023-10-26,1026,2,Appointment"
"27,Software Update,Update available for your software,2023-10-27,1027,1,Update"
"28,Appointment Confirmed,Your spa appointment is confirmed,2023-10-28,1028,1,Appointment"
"29,New Arrivals,Discover our latest fashion arrivals,2023-10-29,1029,2,Info"
"30,Payment Receipt,Your payment has been received,2023-10-30,1030,1,Payment"
